Address,Description,Comment 1,Comment 2,Occurrences
CA31:2,P1565R,,,0
CA31:3,Unused,,,0
CA31:4,Unused,,,0
CA31:5,Unused,,,0
CA31:6,Unused,,,0
CA31:7,Unused,,,0
CA31:8,Unused,,,0
CA32:1,T31,,,9067
CA32:2,T32,,,9261
CA32:3,T33,,,9063
CA32:4,T131,,,8965
CA32:5,T231,,,9038
CA32:6,T232,,,8977
CA32:7,T233,,,8979
CA32:8,T234,,,8974
CA33:1,T331,,,8968
CA33:2,T431,,,8996
CA33:3,T531,,,8957
CA33:4,T532,,,9143
CA33:5,T731,,,9010
CA33:6,T831,,,9232
CA33:7,T5533,,,16964
CA33:8,T5534,,,16943
CA34:1,T5535,,,29462
CA34:2,T5576,,,38567
CA34:3,T5577,,,39653
CA34:4,T5578,,,39678
CA34:5,T5579,,,23222
CA34:6,T5586,,,12335
CA34:7,T5587,,,36074
CA34:8,T5591,,,5733
CA35:1,T5592,,,6557
CA35:2,T5593,,,4732
CA35:3,T5594,,,8946
CA35:4,T5595,,,1341
CA35:5,T5601,,,687
CA35:6,T5602,,,417
CA35:7,T5611,,,25451
CA35:8,T5613,,,24236
CA36:1,T5614,,,23759
CA36:2,T5615,,,23795
CA36:3,T5616,,,19466
CA36:4,T5617,,,19439
CA36:5,T5621,,,36046
CA36:6,T5622,,,27321
CA36:7,T5623,,,25520
CA36:8,T5624,,,23516
CA37:1,T5625,,,23523
CA37:2,T5626,,,28047
CA37:3,T5627,,,28015
CA37:4,T5628,,,19102
CA37:5,T5631,,,29804
CA37:6,T5632,,,788
CA37:7,T5633,,,1991
CA37:8,T5641,,,26354
CA38:1,T5642,,,1093
CA38:2,T5643,,,2126
CA38:3,T5655,,,2125
CA38:4,T5651,,,1617
CA38:5,T5661,,,2090
CA38:6,T235,,,8949
CA38:7,Unused,,,0
CA38:8,Unused,,,0
CA39:1,CA0171 RTE,,,4799
CA39:2,CA0173 RTE,,,5672
CA39:3,CA0180 RTE,,,29935
CA39:4,CA0188 RTE,,,903
CA39:5,CA0190 RTE,,,23664
CA39:6,CA0193 RTE,,,106
CA39:7,CA0195 RTE,,,23715
CA39:8,CA0200 RTE,,,4484
CA3A:1,CA0210 RTE,,,18816
CA3A:2,CA0401 RTE,,,4453
CA3A:3,CA0402 RTE,,,4466
CA3A:4,CA0701 RTE,,,681
CA3A:5,CA0706 RTE,,,165
CA3A:6,CA0708 RTE,,,428
CA3A:7,CA0710 RTE,,,10738
CA3A:8,CA0717 RTE,,,3687
CA3B:1,CA0719 RTE,,,1122
CA3B:2,CA0721 RTE,,,15093
CA3B:3,CA0722 RTE,,,1264
CA3B:4,CA0724 RTE,,,1868
CA3B:5,CA0726 RTE,,,2224
CA3B:6,CA0728 RTE,,,2691
CA3B:7,CA0730 RTE,,,6627
CA3B:8,CA0732 RTE,,,573
CA3C:1,CA0733 RTE,,,695
CA3C:2,CA0734 RTE,,,0
CA3C:3,CA0735 RTE,,,22
CA3C:4,CA0736 RTE,,,4
CA3C:5,CA0737 RTE,,,59
CA3C:6,CA0738 RTE,,,937
CA3C:7,CA0739 RTE,,,30
CA3C:8,CA0740 RTE,,,9
CA3D:1,CA0103,,,21634
CA3D:2,CA0104,,,20809
CA3D:3,CA0109,,,21837
CA3D:4,CA0110,,,20862
CA3D:5,CA0113,,,21588
CA3D:6,CA0114 Main,,,20307
CA3D:7,CA0114 Subs,,,4
CA3D:8,CA0115,,,21636
CA3E:1,CA0116,,,20354
CA3E:2,CA0118,,,20367
CA3E:3,CA0119,,,21204
CA3E:4,CA0120,,,20411
CA3E:5,CA0551,,,5
CA3E:6,CA0552,,,451
CA3E:7,CA0553,,,263
CA3E:8,CA0554,,,21
CA3F:1,Unused,,,0
CA3F:2,CA0556,,,676
CA3F:3,Unused,,,0
CA3F:4,Unused,,,0
CA3F:5,CA0103 Red,,FXN PIIU,21622
CA3F:6,CA0104 Red,,,20799
CA3F:7,CA0109 Red,,,21771
CA3F:8,CA0110 Red,,,20822
CA40:1,CA0113 Red,,,21576
CA40:2,CA0114 Red,,,20330
CA40:3,CA0115 Red,,,21627
CA40:4,CA0116 Red,,,20373
CA40:5,CA0118 Red,,,20368
CA40:6,CA0119 Red,,,21226
CA40:7,CA0120 Red,,,20419
CA40:8,CA0551 Red,,,12
CA41:1,CA0552 Red,,,417
CA41:2,CA0553 Red,,,267
CA41:3,CA0554 Red,,,8
CA41:4,CA0556 Red,,,673
CA41:5,Unused,,,0
CA41:6,Unused,,,0
CA41:7,Unused,,,0
CA41:8,Unused,,,0
CA42:1,P1037N,,,457
CA42:2,P1037R,,,433
CA42:3,P1038N,,,568
CA42:4,P1038R,,,551
CA42:5,P1039N,,,48
CA42:6,P1039R,,,28
CA42:7,Unused,,,0
CA42:8,Unused,,,0
CA43:1,T4553,,,21564
CA43:2,T4563,,,20675
CA43:3,T4564,,,20750
CA43:4,T4651,,,21574
CA43:5,T4661,,,20688
CA43:6,T4662,,,20702
CA43:7,T4751,,,21579
CA43:8,T4761,,,20698
CA44:1,T4851,,,21561
CA44:2,T4861,,,20666
CA44:3,Unused,,,0
CA44:4,Unused,,,0
CA44:5,T4952,,,21557
CA44:6,T4953,,,21563
CA44:7,T4954,,,21579
CA44:8,T4955,,,21563
CA45:1,T4961,,,20687
CA45:2,T4962,,,20693
CA45:3,T4963,,,20721
CA45:4,T4964,,,20745
CA45:5,T5041,,,523
CA45:6,T5051,,,21574
CA45:7,T5052,,,22031
CA45:8,T5053,,,22031
CA46:1,T5054,,,22520
CA46:2,T5055,,,21859
CA46:3,T5060,,,20770
CA46:4,T5061,,,20284
CA46:5,T5062,,,20275
CA46:6,T5063,,,20281
CA46:7,T5064,,,20317
CA46:8,T5065,,,20304
CA47:1,T5151,,,21157
CA47:2,T5161,,,20271
CA47:3,T5162,,,20273
CA47:4,T5251,,,21154
CA47:5,T5252,,,21154
CA47:6,T5253,,,21167
CA47:7,T5261,,,20284
CA47:8,T5262,,,20296
CA48:1,T5362,,,20294
CA48:2,T5451,,,21143
CA48:3,T5461,,,20335
CA48:4,Unused,,,0
CA48:5,Unused,,,0
CA48:6,Unused,,,0
CA48:7,Unused,,,0
CA48:8,Unused,,,0
CA49:1,CA0113 RTE,,,851
CA49:2,CA0114 RTE,,,571
CA49:3,CA0551 RTE,,,5
CA49:4,CA0552 RTE,,,414
CA49:5,CA0553 RTE,,,271
CA49:6,CA0554 RTE,,,2
CA49:7,CA0556 RTE,,,677
CA49:8,Unused,,,0
CA4A:1,CA0211 Main,,CESTRTJ PIIU,19393
CA4A:2,CA0211 Subs,,,0
CA4A:3,CA0211 Red,,,19407
CA4A:4,CA0212,,,19145
CA4A:5,CA0214,,,0
CA4A:6,CA0214 Red,,,12
CA4A:7,CA0220,,,19041
CA4A:8,CA0220 Red,,,19024
CA4B:1,CA0223 Main,,,106
CA4B:2,CA0223 Subs,,,4
CA4B:3,CA0223 Red,,,119
CA4B:4,CA0225,,,19576
CA4B:5,CA0228 Main,,,19242
CA4B:6,CA0228 Subs,,,108
CA4B:7,CA0231,,,19537
CA4B:8,CA0235,,,19452
CA4C:1,CA0236,,,19247
CA4C:2,CA0237 Red,,,19461
CA4C:3,CA0751,,,8
CA4C:4,CA0752,,,0
CA4C:5,CA0754,,,112
CA4C:6,CA0756,,,0
CA4C:7,CA0758,,,4
CA4C:8,Unused,,,0
CA4D:1,CA0212 Red,,,19153
CA4D:2,CA0225 Red,,,19599
CA4D:3,CA0228 Red,,,19310
CA4D:4,CA0229,,,19625
CA4D:5,CA0229 Red,,,19633
CA4D:6,CA0230,,,19341
CA4D:7,CA0230 Red,,,19373
CA4D:8,CA0231 Red,,,19539
CA4E:1,CA0235 Red,,,19448
CA4E:2,CA0236 Red,,,19272
CA4E:3,CA0237,,,19469
CA4E:4,CA0240,,,19201
CA4E:5,CA0240 Red,,,19223
CA4E:6,CA0751 Red,,,20
CA4E:7,CA0752 Red,,,11
CA4E:8,CA0754 Red,,,120
CA4F:1,CA0756 Red,,,9
CA4F:2,CA0758 Red,,,14
CA4F:3,Unused,,,0
CA4F:4,P1108N,x over,,16
CA4F:5,P1108R,,,0
CA4F:6,P1109N,sdg/catch,,260
CA4F:7,P1109R,,,151
CA4F:8,P1110N,fen drayton,,0
CA50:1,P1110R,,,7
CA50:2,P1111N,ballast/redland,,6
CA50:3,P1111R,,,0
CA50:4,P1115N,sdg/spur,,320
CA50:5,P1115R,,,253
CA50:6,P1116N,x over,,173
CA50:7,P1116R,,,129
CA50:8,P1514N,waterbeach,,9
CA51:1,P1514R,,,0
CA51:2,Unused,,,0
CA51:3,Unused,,,0
CA51:4,T5630,,,19013
CA51:5,T5702,,,0
CA51:6,T5703,,,0
CA51:7,T5711,,,19345
CA51:8,T5712,,,19430
CA52:1,T5713,,,19493
CA52:2,T5714,,,19616
CA52:3,T5715,,,19410
CA52:4,T5721,,,19004
CA52:5,T5722,,,19083
CA52:6,T5723,,,19090
CA52:7,T5725,,,19229
CA52:8,T5724,,,19151
CA53:1,T5801,,,328
CA53:2,T5811,,,19397
CA53:3,T5812,,,19685
CA53:4,T5813,,,19499
CA53:5,T5822,,,19329
CA53:6,T5823,,,19199
CA53:7,T5824,,,19204
CA53:8,T5911,,,19430
CA54:1,T5912,,,19446
CA54:2,T5921,,,19143
CA54:3,T5922,,,19178
CA54:4,T6011,,,19423
CA54:5,T6012,,,19474
CA54:6,T6013,,,19433
CA54:7,T6021,,,19147
CA54:8,T6022,,,19130
CA55:1,T6023,,,19146
CA55:2,T6111,,,19439
CA55:3,T6112,,,19430
CA55:4,T6113,,,19429
CA55:5,T6114,,,19466
CA55:6,T6122,,,19139
CA55:7,T6121,,,19142
CA55:8,T6123,,,19146
CA56:1,T6211,,,19436
CA56:2,T6212,,,19443
CA56:3,T6221,,,19128
CA56:4,T6222,,,19149
CA56:5,T6311,,,19418
CA56:6,T6321,,,19145
CA56:7,T5629,,,19036
CA56:8,Unused,,,0
CA57:1,SUMLOSECK,,,13
CA57:2,SDMLOSECK,,,11
CA57:3,CA0211 RTE,,,19338
CA57:4,CA0212 RTE,,,243
CA57:5,CA0214 RTE,,,0
CA57:6,CA0220 RTE,,,18948
CA57:7,CA0223 RTE,,,102
CA57:8,CA0225 RTE,,,579
CA58:1,CA0228 RTE,,,463
CA58:2,CA0751 RTE,,,3
CA58:3,CA0752 RTE,,,0
CA58:4,CA0754 RTE,,,112
CA58:5,CA0756 RTE,,,0
CA58:6,CA0758 RTE,,,2
CA58:7,Unused,,,0
CA58:8,Unused,,,0
CA59:1,CA0073,,WLF PIIU,20360
CA59:2,CA0074,,,20450
CA59:3,CA0075,,,20384
CA59:4,CA0076,,,20482
CA59:5,CA0077,,,20391
CA59:6,CA0078,,,20476
CA59:7,CA0083 Main,,,20414
CA59:8,CA0083 Subs,,,0
CA5A:1,CA0084 Main,,,20512
CA5A:2,CA0084 Subs,,,11
CA5A:3,CA0085,,,100
CA5A:4,CA0087,,,20281
CA5A:5,CA0090,,,20529
CA5A:6,CA0527,,,2
CA5A:7,CA0528,,,1
CA5A:8,CA0531,,,21
CA5B:1,CA0533,,,18
CA5B:2,CA0536,,,1
CA5B:3,CA0540,,,11
CA5B:4,CA0077 Red,,,20379
CA5B:5,CA0083 Red,,,20429
CA5B:6,CA0084 Red,,,20530
CA5B:7,CA0085 Red,,,125
CA5B:8,CA0087 Red,,,20306
CA5C:1,CA0090 Red,,,20509
CA5C:2,CA0074 Red,,,20454
CA5C:3,CA0075 Red,,,20372
CA5C:4,CA0076 Red,,,20492
CA5C:5,CA0078  Red,,,20493
CA5C:6,CA0527 Red,,,29
CA5C:7,CA0528 Red,,,25
CA5C:8,CA0531 Red,,,28
CA5D:1,CA0073 Red,,,20349
CA5D:2,CA0533 Red,,,34
CA5D:3,CA0536 Red,,,15
CA5D:4,CA0540 Red,,,26
CA5D:5,LOSECK,,,14
CA5D:6,Unused,,,0
CA5D:7,Unused,,,0
CA5D:8,Unused,,,0
CA5E:1,P1022N,,,56
CA5E:2,P1022R,,,13
CA5E:3,P1024N,,,137
CA5E:4,P1024R,,,109
CA5E:5,P1025N,,,41
CA5E:6,P1025R,,,7
CA5E:7,P1026N,,,74
CA5E:8,P1026R,,,43
CA5F:1,P1027N,,,62
CA5F:2,P1027R,,,30
CA5F:3,P1028N,,,141
CA5F:4,P1028R,,,126
CA5F:5,Unused,,,0
CA5F:6,Unused,,,0
CA5F:7,Unused,,,0
CA5F:8,Unused,,,0
CA60:1,T4611,,,20354
CA60:2,T4612,,,20314
CA60:3,T4613,,,20342
CA60:4,T4621,,,20415
CA60:5,T4622,,,20443
CA60:6,T4701,,,24
CA60:7,T4711,,,20330
CA60:8,T4712,,,20299
CA61:1,T4713,,,20300
CA61:2,T4721,,,20406
CA61:3,T4722,,,20400
CA61:4,T4723,,,20398
CA61:5,T4724,,,20383
CA61:6,T4811,,,20308
CA61:7,T4812,,,20313
CA61:8,T4813,,,20299
CA62:1,T4821,,,20393
CA62:2,T4901,,,120
CA62:3,T4911,,,20301
CA62:4,T4912,,,20223
CA62:5,T4913,,,20330
CA62:6,T4914,,,20316
CA62:7,T4915,,,20307
CA62:8,T4921,,,20391
CA63:1,T4922,,,20445
CA63:2,T4923,,,20410
CA63:3,T4931,,,55
CA63:4,Unused,,,0
CA63:5,Unused,,,0
CA63:6,Unused,,,0
CA63:7,Unused,,,0
CA63:8,Unused,,,0
CA64:1,CA0077 RTE,,,189
CA64:2,CA0083 RTE,,,490
CA64:3,CA0084 RTE,,,197
CA64:4,CA0085 RTE,,,101
CA64:5,CA0087 RTE,,,300
CA64:6,CA0090 RTE,,,149
CA64:7,CA0527 RTE,,,2
CA64:8,CA0528 RTE,,,1
CA65:1,CA0531 RTE,,,3
CA65:2,CA0533 RTE,,,19
CA65:3,CA0536 RTE,,,1
CA65:4,CA0540 RTE,,,11
CA65:5,Unused,,,0
CA65:6,Unused,,,0
CA65:7,Unused,,,0
CA65:8,Unused,,,0
CA66:1,CA0034,,GRC SSI,20432
CA66:2,CA0033,,,20384
CA66:3,CA0031,,,20368
CA66:4,CA0028,,,20379
CA66:5,CA0027,,,20308
CA66:6,CA0022,,,28282
CA66:7,CA0021,,,20331
CA66:8,CA0019,,,28292
CA67:1,CA0045,,,20353
CA67:2,CA0044,,,20382
