Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences,
CC21:5,3637R,Not transmitted,,3637R,0,TRUE
CC21:6,3637N,Not transmitted,,3637N,0,TRUE
CC21:7,42G,Not transmitted,,42G,0,TRUE
CC21:8,Unused,,,,0,FALSE
CC22:1,TC8C12,Not transmitted,,TC8C12,0,TRUE
CC22:2,TS4,Not transmitted,,TS4,0,TRUE
CC22:3,TC26,Not transmitted,,TC26,0,TRUE
CC22:4,TC40,Not transmitted,,TC40,0,TRUE
CC22:5,15N,Not transmitted,,15N,0,TRUE
CC22:6,15R,Not transmitted,,15R,0,TRUE
CC22:7,Unused,,,,0,FALSE
CC22:8,Unused,,,,0,FALSE
CC23:1,R1007AM,S1007 to S1009,Interlocking 3 (Colchester S),R1007AM,4528,TRUE
CC23:2,R1008AM,S1008 to S1006,,R1008AM,4465,TRUE
CC23:3,R1011AM,S1011 to S1021,,R1011AM,98,TRUE
CC23:4,R1011BM,S1011 to S1023,,R1011BM,2,TRUE
CC23:5,R1011CS,S1011 to S1030,,R1011CS,88,TRUE
CC23:6,R1011DM,S1011 to S1027,,R1011DM,4390,TRUE
CC23:7,R1020AM,S1020 to S1010,,R1020AM,34,TRUE
CC23:8,R1021AS,S1021 to S1034,,R1021AS,8,TRUE
CC24:1,R1021BM,S1021 to S1051,,R1021BM,90,TRUE
CC24:2,R1022AM,S1022 to S1010,,R1022AM,4335,TRUE
CC24:3,R1023AS,S1023 to S1034,,R1023AS,10,TRUE
CC24:4,R1023BM,S1023 to S1051,,R1023BM,8,TRUE
CC24:5,R1023BS,S1023 to S1051,,R1023BS,0,TRUE
CC24:6,R1023CM,S1023 to S1055,,R1023CM,6,TRUE
CC24:7,R1023CS,S1023 to S1055,,R1023CS,0,TRUE
CC24:8,R1025AS,S1025 to S1030,,R1025AS,104,TRUE
CC25:1,R1028AM,S1028 to S1010,,R1028AM,22,TRUE
CC25:2,R1028BM,S1028 to S4006,,R1028BM,2,TRUE
CC25:3,R1030AS,S1030 to S1025,,R1030AS,103,TRUE
CC25:4,R1030BM,S1030 to S1010,,R1030BM,62,TRUE
CC25:5,R1030CM,S1030 to S4006,,R1030CM,2,TRUE
CC25:6,R1031AS,S1031 to S1034,,R1031AS,6,TRUE
CC25:7,R1034AM,S1034 to S1028,,R1034AM,20,TRUE
CC25:8,R1034BS,S1034 to S1031,,R1034BS,6,TRUE
CC26:1,R1036AM,S1036 to S1028,,R1036AM,20,TRUE
CC26:2,R4006AM,S4006 to SL884,,R4006AM,6,TRUE
CC26:3,R4009AM,S4009 to S4013,,R4009AM,10,TRUE
CC26:4,R4010AM,S4010 to S4006,,R4010AM,0,TRUE
CC26:5,R4013AM,S4013 to S1023,,R4013AM,2,TRUE
CC26:6,R4013BS,S4013 to S1030,,R4013BS,14,TRUE
CC26:7,R4013CM,S4013 to S1033,,R4013CM,14,TRUE
CC26:8,R4013DM,S4013 to S1035,,R4013DM,2,TRUE
CC27:1,Unused,,,,0,FALSE
CC27:2,Unused,,,,0,FALSE
CC27:3,S1004,,,S1004,4442,TRUE
CC27:4,S1005,,,S1005,4560,TRUE
CC27:5,S1006,,,S1006,4442,TRUE
CC27:6,S1007,,,S1007,4570,TRUE
CC27:7,S1008,,,S1008,4455,TRUE
CC27:8,S1009,,,S1009,4568,TRUE
CC28:1,S1010,,,S1010,4442,TRUE
CC28:2,S1011,,,S1011,4562,TRUE
CC28:3,S1020,,,S1020,32,TRUE
CC28:4,S1021,,,S1021,98,TRUE
CC28:5,S1022,,,S1022,4358,TRUE
CC28:6,S1025,S1023,,S1025,104,TRUE
CC28:7,S1028,,,S1028,18,TRUE
CC28:8,S1030,,,S1030,174,TRUE
CC29:1,S1031,,,S1031,6,TRUE
CC29:2,S1034,,,S1034,26,TRUE
CC29:3,S1036,,,S1036,24,TRUE
CC29:4,S4002,SL884R,,S4002,1,TRUE
CC29:5,S4004,SL884RR,,S4004,1,TRUE
CC29:6,S4006,,,S4006,6,TRUE
CC29:7,S4007,S4009R,,S4007,1,TRUE
CC29:8,S4008,S4006R,,S4008,1,TRUE
CC2A:1,S4009,,,S4009,10,TRUE
CC2A:2,S4010,,,S4010,0,TRUE
CC2A:3,S4011,S4013R,,S4011,1,TRUE
CC2A:4,S4013,,,S4013,34,TRUE
CC2A:5,Unused,,,,0,FALSE
CC2A:6,Unused,,,,0,FALSE
CC2A:7,P3001N,,,P3001N,289,TRUE
CC2A:8,P3001R,,,P3001R,284,TRUE
CC2B:1,P3002N,,,P3002N,127,TRUE
CC2B:2,P3002R,,,P3002R,126,TRUE
CC2B:3,P3003N,,,P3003N,123,TRUE
CC2B:4,P3003R,,,P3003R,106,TRUE
CC2B:5,P3004N,,,P3004N,203,TRUE
CC2B:6,P3004R,,,P3004R,202,TRUE
CC2B:7,P3005N,,,P3005N,109,TRUE
CC2B:8,P3005R,,,P3005R,108,TRUE
CC2C:1,P3006N,,,P3006N,59,TRUE
CC2C:2,P3006R,,,P3006R,42,TRUE
CC2C:3,P3040N,,,P3040N,78,TRUE
CC2C:4,P3040R,,,P3040R,79,TRUE
CC2C:5,P3041N,,,P3041N,177,TRUE
CC2C:6,P3041R,,,P3041R,172,TRUE
CC2C:7,P3043N,,,P3043N,27,TRUE
CC2C:8,P3043R,,,P3043R,26,TRUE
CC2D:1,P3044N,,,P3044N,45,TRUE
CC2D:2,P3044R,,,P3044R,40,TRUE
CC2D:3,Unused,,,,0,FALSE
CC2D:4,Unused,,,,0,FALSE
CC2D:5,Unused,,,,0,FALSE
CC2D:6,Unused,,,,0,FALSE
CC2D:7,R1027AM,S1027 to S1065,Interlocking 4 (Colchester Cent),R1027AM,1240,TRUE
CC2D:8,R1027AC,S1027 to S1065,,R1027AC,8,TRUE
CC2E:1,R1027BM,S1027 to S1067,,R1027BM,3150,TRUE
CC2E:2,R1027BC,S1027 to S1067,,R1027BC,0,TRUE
CC2E:3,R1027CM,S1027 to S1063,,R1027CM,20,TRUE
CC2E:4,R1027CC,S1027 to S1063,,R1027CC,0,TRUE
CC2E:5,R1027DM,S1027 to S1048,,R1027DM,14,TRUE
CC2E:6,R1027DC,S1027 to S1048,,R1027DC,0,TRUE
CC2E:7,R1027ES,S1027 to S1046,,R1027ES,0,TRUE
CC2E:8,R1033AM,S1033 to S1065,,R1033AM,0,TRUE
CC2F:1,R1033AC,S1033 to S1065,,R1033AC,2,TRUE
CC2F:2,R1033BM,S1033 to S1067,,R1033BM,12,TRUE
CC2F:3,R1033BC,S1033 to S1067,,R1033BC,2,TRUE
CC2F:4,R1033CM,S1033 to S1063,,R1033CM,4,TRUE
CC2F:5,R1033CC,S1033 to S1063,,R1033CC,2,TRUE
CC2F:6,R1033DM,S1033 to S1048,,R1033DM,2,TRUE
CC2F:7,R1033DC,S1033 to S1048,,R1033DC,2,TRUE
CC2F:8,R1033ES,S1033 to S1046,,R1033ES,2,TRUE
CC30:1,R1035AM,S1035 to S1063,,R1035AM,10,TRUE
CC30:2,R1035AC,S1035 to S1063,,R1035AC,2,TRUE
CC30:3,R1035BM,S1035 to S1048,,R1035BM,6,TRUE
CC30:4,R1035BC,S1035 to S1048,,R1035BC,2,TRUE
CC30:5,R1035CS,S1035 to S1046,,R1035CS,8,TRUE
CC30:6,R1039AM,S1039 to S1065,,R1039AM,26,TRUE
CC30:7,R1039AC,S1039 to S1065,,R1039AC,2,TRUE
CC30:8,R1039BM,S1039 to S1067,,R1039BM,18,TRUE
CC31:1,R1039BC,S1039 to S1067,,R1039BC,2,TRUE
CC31:2,R1039CM,S1039 to S1063,,R1039CM,72,TRUE
CC31:3,R1039CC,S1039 to S1063,,R1039CC,2,TRUE
CC31:4,R1039DM,S1039 to S1048,,R1039DM,72,TRUE
CC31:5,R1039DC,S1039 to S1048,,R1039DC,2,TRUE
CC31:6,R1039ES,S1039 to S1046,,R1039ES,2,TRUE
CC31:7,R1040AM,S1040 to S1020,,R1040AM,42,TRUE
CC31:8,R1040AS,S1040 to S1020,,R1040AS,0,TRUE
CC32:1,R1040BM,S1040 to S1022,,R1040BM,4176,TRUE
CC32:2,R1040BW,S1040 to S1022,,R1040BW,22,TRUE
CC32:3,R1040CM,S1040 to S4010,,R1040CM,0,TRUE
CC32:4,R1040DS,S1040 to S1039,,R1040DS,292,TRUE
CC32:5,R1046AM,S1046 to S1020,,R1046AM,4,TRUE
CC32:6,R1046AS,S1046 to S1020,,R1046AS,0,TRUE
CC32:7,R1046BM,S1046 to S1022,,R1046BM,2,TRUE
CC32:8,R1046CM,S1046 to S4010,,R1046CM,0,TRUE
CC33:1,R1046DS,S1046 to S1020,,R1046DS,0,TRUE
CC33:2,R1048AM,S1048 to S1020,,R1048AM,10,TRUE
CC33:3,R1048AS,S1048 to S1020,,R1048AS,0,TRUE
CC33:4,R1048BM,S1048 to S1022,,R1048BM,74,TRUE
CC33:5,R1048CM,S1048 to S4010,,R1048CM,0,TRUE
CC33:6,R1048DS,S1048 to S1020,,R1048DS,2,TRUE
CC33:7,R1054AM,S1054 to S1022,,R1054AM,90,TRUE
CC33:8,R1054BM,S1054 to S4010,,R1054BM,0,TRUE
CC34:1,R1054CS,S1054 to S1039,,R1054CS,106,TRUE
CC34:2,R1054DS,S1054 to S1059,,R1054DS,44,TRUE
CC34:3,R1054ES,S1054 to S1057,,R1054ES,282,TRUE
CC34:4,R1056AM,S1056 to S1022,,R1056AM,10,TRUE
CC34:5,R1056BM,S1056 to S4010,,R1056BM,0,TRUE
